id,code,establishment_id,name
308,WB346,ABDRMC,ABDRMC-WB346
309,RT823,ABDRYC,ABDRYC-RT823
310,RF812,ABDSUM,ABDSUM-RF812
311,NU535,ABDSUM,ABDSUM-NU535
312,DV481,ABGVMC,ABGVMC-DV481
313,NC873,ABGVMC,ABGVMC-NC873
314,RK322,ABRYCT,ABRYCT-RK322
315,LB709,ABRYCT,ABRYCT-LB709
316,HC180,ABRYCT,ABRYCT-HC180
317,VG730,ABRYMC,ABRYMC-VG730
318,PU750,ABRYMC,ABRYMC-PU750
319,DC478,ABRYYC,ABRYYC-DC478
320,AR523,ABRYYC,ABRYYC-AR523
321,AN139,ABTYMC,ABTYMC-AN139
322,FA247,ABWLEY,ABWLEY-FA247
323,JS133,ACCRCT,ACCRCT-JS133
324,QF475,ACCRMC,ACCRMC-QF475
325,QM221,ACCRYC,ACCRYC-QM221
326,WC162,ACCRYC,ACCRYC-WC162
327,BS849,ACTNCC,ACTNCC-BS849
328,OS317,ACTNCC,ACTNCC-OS317
329,ZN373,ACTNMC,ACTNMC-ZN373
330,NQ623,ACTNYC,ACTNYC-NQ623
331,UI476,ACTNYC,ACTNYC-UI476
332,GR812,ACTNYC,ACTNYC-GR812
333,UA439,AKI,AKI-UA439
334,NG540,AKI,AKI-NG540
335,YI478,AKI,AKI-YI478
336,PJ321,ALDRCT,ALDRCT-PJ321
337,WF110,ALDRCT,ALDRCT-WF110
338,WX499,ALDRCT,ALDRCT-WX499
339,PM866,ALDRMC,ALDRMC-PM866
340,JB025,ALDRMC,ALDRMC-JB025
341,JJ337,ALDRMC,ALDRMC-JJ337
342,MP178,ALI,ALI-MP178
343,HQ185,ALI,ALI-HQ185
344,QR368,ALI,ALI-QR368
345,DR715,ALLSHF,ALLSHF-DR715
346,DI549,ALNWMC,ALNWMC-DI549
347,ZG411,ALNWMC,ALNWMC-ZG411
348,IP955,ALNWYC,ALNWYC-IP955
349,QH784,ALNWYC,ALNWYC-QH784
350,JO107,ALPHA,ALPHA-JO107
351,PM269,ALPHHO,ALPHHO-PM269
352,JU282,ALPHHO,ALPHHO-JU282
353,FL428,ALTNMC,ALTNMC-FL428
354,CA332,ALTNMC,ALTNMC-CA332
355,TH936,ALTNMC,ALTNMC-TH936
356,HR087,ALTNYC,ALTNYC-HR087
357,MM942,ALTRCT,ALTRCT-MM942
358,MZ819,AMERCC,AMERCC-MZ819
359,SO831,AMERCC,AMERCC-SO831
360,KL237,AMERCC,AMERCC-KL237
361,KU963,AMERSH,AMERSH-KU963
362,ZD472,AMERSH,AMERSH-ZD472
363,DR468,AMERSH,AMERSH-DR468
364,HT994,AMMNMC,AMMNMC-HT994
365,BQ529,AMMNYC,AMMNYC-BQ529
366,RX985,AMMNYC,AMMNYC-RX985
367,CV699,AMRSMC,AMRSMC-CV699
368,II393,AMRSMC,AMRSMC-II393
369,LH498,AMRSYC,AMRSYC-LH498
370,RG726,ANDVMC,ANDVMC-RG726
371,US253,ANDVMC,ANDVMC-US253
372,HR381,ANDVYC,ANDVYC-HR381
373,IU085,ANI,ANI-IU085
374,HR202,ANI,ANI-HR202
375,AB635,ANTCC1,ANTCC1-AB635
376,EX229,ANTCC1,ANTCC1-EX229
377,LR466,ANTCC1,ANTCC1-LR466
378,DI917,ANTMC1,ANTMC1-DI917
379,QW546,ARDEN,ARDEN-QW546
380,NR519,ARNOLD,ARNOLD-NR519
381,AP684,ARNOLD,ARNOLD-AP684
382,ZD600,ASHEHO,ASHEHO-ZD600
383,NG690,ASHEHO,ASHEHO-NG690
384,MA085,ASHEHO,ASHEHO-MA085
385,FE332,ASHFCT,ASHFCT-FE332
386,SW458,ASHFCT,ASHFCT-SW458
387,KL124,ASHFCT,ASHFCT-KL124
388,RF108,ASHFMC,ASHFMC-RF108
389,ZQ242,ASHFMC,ASHFMC-ZQ242
390,CF087,ASHFMC,ASHFMC-CF087
391,MJ410,ASHTMC,ASHTMC-MJ410
392,NA620,ASHTMC,ASHTMC-NA620
393,YH436,ASHTYC,ASHTYC-YH436
394,PT404,ASHTYC,ASHTYC-PT404
395,YR763,ASHTYC,ASHTYC-YR763
396,FH479,ASHWTH,ASHWTH-FH479
397,UV322,ASHWTH,ASHWTH-UV322
398,AK148,ASHWTH,ASHWTH-AK148
399,LS568,ASP001,ASP001-LS568
400,VP449,ASP001,ASP001-VP449
401,KA304,ASP002,ASP002-KA304
402,IY840,ASP002,ASP002-IY840
403,XJ538,ASP002,ASP002-XJ538
404,DX423,ASP003,ASP003-DX423
405,YV458,ASP003,ASP003-YV458
406,QP133,ASP004,ASP004-QP133
407,NI006,ASP004,ASP004-NI006
408,ZY786,ASP005,ASP005-ZY786
409,DM993,ASP005,ASP005-DM993
410,HV403,ASP006,ASP006-HV403
411,FY873,ASP007,ASP007-FY873
412,QC609,ASP007,ASP007-QC609
413,EC627,ASP007,ASP007-EC627
414,KP310,ASP008,ASP008-KP310
415,YS481,ASP008,ASP008-YS481
416,SG800,ASP008,ASP008-SG800
417,WY230,ASP009,ASP009-WY230
418,BW973,ASP010,ASP010-BW973
419,RP594,ASP011,ASP011-RP594
420,OX458,ASP012,ASP012-OX458
421,BA364,ASP012,ASP012-BA364
422,AO804,ASP013,ASP013-AO804
423,NE612,ASP013,ASP013-NE612
424,GB964,ASP013,ASP013-GB964
425,KG001,ASP015,ASP015-KG001
426,CK885,ASP015,ASP015-CK885
427,JT825,ASP015,ASP015-JT825
428,GY143,ASP016,ASP016-GY143
429,EK136,ASP016,ASP016-EK136
430,UR914,ASP016,ASP016-UR914
431,MF037,ASP017,ASP017-MF037
432,TR011,ASP019,ASP019-TR011
433,MF206,GLDFCC,GLDFCC-MF206
434,PC321,SNARCC,SNARCC-PC321
435,HW340,SNARCC,SNARCC-HW340
436,SD254,PLYMCC,PLYMCC-SD254
437,XA121,TRURCC,TRURCC-XA121
438,NZ325,EXETCC,EXETCC-NZ325
439,DF757,EXETCC,EXETCC-DF757
440,CL452,EXETCC,EXETCC-CL452
441,ZI222,COACD,COACD-ZI222
442,BT128,PLYMMC,PLYMMC-BT128
443,GF852,PLYMMC,PLYMMC-GF852
444,MN254,PLYMMC,PLYMMC-MN254
445,KB115,HGHBMC,HGHBMC-KB115
446,HR358,HGHBMC,HGHBMC-HR358
