id,prisoner,date,time,direction,type,origin_code,origin,destination_code,destination,reason
1192390.1,1192390,2019-12-03 00:00:00,2019-12-03 01:02:57,IN,TAP,FKI,Frankland,HHI,Holme House,Temporary Transfer
1192390.2,1192390,2025-03-19 00:00:00,2025-03-19 12:32:21,OUT,REL,MSI,Maidstone,HOI,High Down,Release to Immigration
1182375.1,1182375,2023-05-01 00:00:00,2023-05-01 12:20:08,IN,ADM,MHI,Morton Hall,BMI,Birmingham,Initial Admission
1182375.2,1182375,2020-03-31 00:00:00,2020-03-31 02:33:15,OUT,ADM,ASI,Ashfield,754990,Littlehampton Probation Office,Initial Admission
1182375.3,1182375,2020-01-11 00:00:00,2020-01-11 07:21:08,IN,REL,ASHFMC,Ashford Mc,NSI,North Sea Camp,Release to Immigration
1182375.4,1182375,2016-05-29 00:00:00,2016-05-29 10:37:33,IN,TRN,LNI,Low Newton,ALLSHF,Alloa Sheriff's Court,Category Change
1191666.1,1191666,2017-09-09 00:00:00,2017-09-09 12:29:28,OUT,ADM,ARDEN,Arden Leigh MSU,705109,Enfield Probation Office,Initial Admission
1114671.1,1114671,2017-09-04 00:00:00,2017-09-04 22:07:51,IN,CRT,ASP006,Weston-super-Mare Probation Centre,RHI,Rye Hill,Court Appearance
1171382.1,1171382,2023-01-20 00:00:00,2023-01-20 09:54:19,OUT,REL,705670,Oxford City Probation Office,LII,Lincoln,Release on License
1171382.2,1171382,2024-08-17 00:00:00,2024-08-17 01:37:16,OUT,TAP,WSI,Wormwood Scrubs,EXETCC,Exeter Crown Court,Temporary Transfer
1171382.3,1171382,2020-02-17 00:00:00,2020-02-17 12:49:04,OUT,CRT,761287,MAGISTRATES COURT,701109,Wallsend Probation Office,Remand Hearing
1192686.1,1192686,2016-10-07 00:00:00,2016-10-07 03:24:22,IN,CRT,FDI,Ford,NMI,Nottingham,Remand Hearing
1192686.2,1192686,2023-01-15 00:00:00,2023-01-15 11:14:43,IN,ADM,705109,Enfield Probation Office,AYI,Aylesbury,Initial Admission
1176055.1,1176055,2022-02-10 00:00:00,2022-02-10 11:31:13,IN,REL,WWI,Wandsworth,STI,Styal,Release to Immigration
1176055.2,1176055,2015-12-24 00:00:00,2015-12-24 01:11:27,OUT,REL,CWI,Channings Wood,RNI,Ranby,End of Sentence
1176055.3,1176055,2021-11-13 00:00:00,2021-11-13 17:08:09,OUT,TAP,ASP007,Bristol Probation Centre,CLI,Coldingley,Outside Hospital Attendance
1176055.4,1176055,2021-07-09 00:00:00,2021-07-09 12:43:20,IN,ADM,778998,West Bromwich Probation Office,714662,Sittingbourne Probation Office,Immigration Admission
1135458.1,1135458,2017-03-22 00:00:00,2017-03-22 23:50:05,OUT,TRN,UNKNWN,UNKNOWN LOCATION,GNI,Grendon,Category Change
1135458.2,1135458,2023-01-24 00:00:00,2023-01-24 15:48:18,OUT,TRN,ASP003,"Knowle Park, Bristol Probation Centre",ABGVMC,Abergavenny Magistrates Court,Normal Transfer
1104417.1,1104417,2016-10-17 00:00:00,2016-10-17 00:25:54,IN,REL,RHI,Rye Hill,SLI,Swaleside,End of Sentence
1104417.2,1104417,2019-09-13 00:00:00,2019-09-13 19:51:37,OUT,TAP,ACTNCC,Acton Crown Court,DMI,Durham,Outside Hospital Attendance
1135877.1,1135877,2018-04-15 00:00:00,2018-04-15 03:21:29,OUT,TAP,LFI,Lancaster Farms,BCI,Buckley Hall,Outside Hospital Attendance
1135877.2,1135877,2022-04-26 00:00:00,2022-04-26 05:12:39,IN,TRN,ASP005,North Bristol Probation Centre,EHI,Standford Hill,Normal Transfer
1135877.3,1135877,2021-08-12 00:00:00,2021-08-12 08:02:34,IN,TAP,703230,DORSET CLOSE Probation Office,FBI,Forest Bank,Outside Hospital Attendance
1163222.1,1163222,2016-05-14 00:00:00,2016-05-14 15:40:06,IN,REL,OUT,OUTSIDE,AMERSH,Amersham General,End of Sentence
1163222.2,1163222,2024-11-11 00:00:00,2024-11-11 22:40:28,IN,CRT,NULL,,DHI,Drake Hall,Remand Hearing
1127968.1,1127968,2021-06-17 00:00:00,2021-06-17 14:33:20,OUT,TRN,PDI,Portland,CFI,Cardiff,Medical Transfer
1127968.2,1127968,2023-03-15 00:00:00,2023-03-15 23:26:46,OUT,TAP,FNI,Full Sutton,ALPHHO,Alpha Hospitals Sheffield,Temporary Transfer
1180185.1,1180185,2018-11-18 00:00:00,2018-11-18 22:59:31,IN,TRN,LII,Lincoln,ABRYYC,Aberystwyth Youth Court,Medical Transfer
1180185.2,1180185,2022-08-27 00:00:00,2022-08-27 00:45:01,IN,ADM,CKI,Cookham Wood,DAI,Dartmoor,Immigration Admission
1132956.1,1132956,2021-01-07 00:00:00,2021-01-07 22:01:56,IN,TAP,ABDRYC,Aberdare Youth Court,PNI,Preston,Temporary Transfer
1132956.2,1132956,2022-07-06 00:00:00,2022-07-06 10:55:03,OUT,TRN,MHI,Morton Hall,NWI,Norwich,Normal Transfer
1132956.3,1132956,2017-05-17 00:00:00,2017-05-17 10:56:26,OUT,ADM,LWI,Lewes,COACD,Court Of Appeal Criminal Division,Immigration Admission
1132956.4,1132956,2023-06-29 00:00:00,2023-06-29 14:46:43,IN,REL,ASP001,North Somerset Courthouse Probation,WHI,Woodhill,Release on License
1182231.1,1182231,2019-02-09 00:00:00,2019-02-09 02:54:07,OUT,ADM,ACCRMC,Accrington (Hyndburn) Magistrates Court,ASP003,"Knowle Park, Bristol Probation Centre",Initial Admission
1171236.1,1171236,2018-03-03 00:00:00,2018-03-03 12:31:53,OUT,REL,AAAMH2,AAA Mike H Testing,SNI,Swinfen Hall,Release on License
1171236.2,1171236,2019-11-25 00:00:00,2019-11-25 16:33:48,OUT,CRT,NULL,,ALPHA,Alpha Hospital,Court Appearance
1171236.3,1171236,2021-01-26 00:00:00,2021-01-26 23:56:46,IN,ADM,ALTRCT,Altrincham County Court,AMMNYC,Ammanford Youth Court,Immigration Admission
1147424.1,1147424,2024-01-25 00:00:00,2024-01-25 03:46:45,IN,REL,BLI,Bristol,NULL,,End of Sentence
1147424.2,1147424,2016-02-13 00:00:00,2016-02-13 03:51:04,IN,CRT,ASP002,Bath Probation Centre,STI,Styal,Remand Hearing
1158238.1,1158238,2025-05-26 00:00:00,2025-05-26 16:25:11,IN,REL,EEI,Erlestoke,NULL,,Release on License
1158238.2,1158238,2023-07-17 00:00:00,2023-07-17 16:17:19,OUT,TRN,ALPHA,Alpha Hospital,DWI,Downview,Medical Transfer
1188844.1,1188844,2015-12-19 00:00:00,2015-12-19 19:36:21,OUT,REL,ANDVMC,Andover Mc,NULL,,Release to Immigration
1168280.1,1168280,2023-05-02 00:00:00,2023-05-02 04:47:45,OUT,ADM,FDI,Ford,HPI,Highpoint,Initial Admission
1168280.2,1168280,2022-03-27 00:00:00,2022-03-27 06:52:46,IN,ADM,ABWLEY,Abraham Cowley Unit,ASHWTH,Ashworth Hospital,Immigration Admission
1142059.1,1142059,2017-06-26 00:00:00,2017-06-26 19:20:13,IN,TAP,SPI,Spring Hill,LPI,Liverpool,Outside Hospital Attendance
1142059.2,1142059,2021-05-06 00:00:00,2021-05-06 12:46:24,OUT,CRT,AMERSH,Amersham General,NHI,New Hall,Court Appearance
1142059.3,1142059,2018-12-15 00:00:00,2018-12-15 09:04:51,IN,TRN,ABDRYC,Aberdare Youth Court,ABRYMC,Aberystwyth Magistrates Court,Medical Transfer
1142059.4,1142059,2021-08-25 00:00:00,2021-08-25 00:57:23,IN,TRN,ASP003,"Knowle Park, Bristol Probation Centre",778998,West Bromwich Probation Office,Normal Transfer
1124614.1,1124614,2025-02-04 00:00:00,2025-02-04 07:45:10,IN,TAP,UNKNWN,UNKNOWN LOCATION,721844,NELSON Probation Office,Outside Hospital Attendance
1124614.2,1124614,2017-06-11 00:00:00,2017-06-11 16:58:10,IN,CRT,ASP011,Yeovil Probation Centre,TRURCC,Truro Crown Court,Court Appearance
1124614.3,1124614,2019-03-30 00:00:00,2019-03-30 19:05:20,OUT,TAP,ISI,Isis,DNI,Doncaster,Temporary Transfer
1154431.1,1154431,2022-01-08 00:00:00,2022-01-08 05:17:25,OUT,TAP,ASI,Ashfield,ASP004,Bristol Probation Centre,Outside Hospital Attendance
1154431.2,1154431,2018-11-22 00:00:00,2018-11-22 16:24:15,IN,TRN,ALDRMC,Aldershot (Nort East Hampshire) Magistrates,COACD,Court Of Appeal Criminal Division,Normal Transfer
1154431.3,1154431,2024-01-05 00:00:00,2024-01-05 07:37:59,IN,TRN,AAAMH2,AAA Mike H Testing,COACD,Court Of Appeal Criminal Division,Category Change
1154431.4,1154431,2017-02-07 00:00:00,2017-02-07 10:59:32,OUT,ADM,WSI,Wormwood Scrubs,ASP007,Bristol Probation Centre,Immigration Admission
1198256.1,1198256,2017-08-11 00:00:00,2017-08-11 01:04:20,IN,TRN,LII,Lincoln,LGI,Lowdham Grange,Medical Transfer
1198256.2,1198256,2019-05-01 00:00:00,2019-05-01 23:47:47,OUT,TRN,ASP011,Yeovil Probation Centre,AMRSYC,Amersham Youth Court,Category Change
1198321.1,1198321,2018-09-10 00:00:00,2018-09-10 02:18:46,IN,REL,HLI,Hull,BNI,Bullingdon,Release on License
1198321.2,1198321,2019-11-09 00:00:00,2019-11-09 17:43:00,OUT,CRT,AAAMH2,AAA Mike H Testing,LEI,Leeds,Remand Hearing
1198321.3,1198321,2024-12-27 00:00:00,2024-12-27 08:37:27,OUT,REL,ACCRMC,Accrington (Hyndburn) Magistrates Court,796120,Erdington Probation Centre,Release to Immigration
1198321.4,1198321,2022-09-14 00:00:00,2022-09-14 16:11:42,OUT,TRN,WWI,Wandsworth,AAAMH2,AAA Mike H Testing,Medical Transfer
1194632.1,1194632,2023-10-15 00:00:00,2023-10-15 10:51:20,IN,CRT,724648,Sheerness Probation Office,AMMNMC,Ammanford Mc,Remand Hearing
1194632.2,1194632,2022-09-19 00:00:00,2022-09-19 03:16:13,IN,CRT,778998,West Bromwich Probation Office,UKI,Usk,Remand Hearing
1194632.3,1194632,2024-12-28 00:00:00,2024-12-28 20:50:19,OUT,CRT,HHI,Holme House,EHI,Standford Hill,Court Appearance
1121295.1,1121295,2015-09-01 00:00:00,2015-09-01 02:38:06,OUT,ADM,ANTMC1,Antrim Magistrates Court,MSI,Maidstone,Initial Admission
1162388.1,1162388,2024-02-06 00:00:00,2024-02-06 19:49:11,OUT,TAP,WCI,Winchester,DHI,Drake Hall,Outside Hospital Attendance
1164568.1,1164568,2021-03-11 00:00:00,2021-03-11 21:42:37,OUT,TRN,ASP010,Wells Probation Centre,HBI,Hollesley Bay,Normal Transfer
1164568.2,1164568,2025-06-07 00:00:00,2025-06-07 09:11:02,IN,TRN,LWI,Lewes,OUT,OUTSIDE,Category Change
1164568.3,1164568,2021-10-13 00:00:00,2021-10-13 16:34:04,IN,CRT,ASHTYC,Tameside (Ashton under Lyne) Youth Court,LYI,Leyhill,Court Appearance
1112537.1,1112537,2015-10-25 00:00:00,2015-10-25 10:49:50,IN,CRT,LLI,Long Lartin,RNI,Ranby,Remand Hearing
1112537.2,1112537,2017-01-07 00:00:00,2017-01-07 07:02:49,OUT,TAP,ASP008,Bristol Crown Court Liaison Office,EHI,Standford Hill,Outside Hospital Attendance
1117607.1,1117607,2015-12-30 00:00:00,2015-12-30 10:42:56,IN,TAP,UNKNWN,UNKNOWN LOCATION,ABDALE,"Abbey Dale Court, London",Temporary Transfer
1117607.2,1117607,2022-06-15 00:00:00,2022-06-15 19:05:48,OUT,REL,EEI,Erlestoke,761287,MAGISTRATES COURT,Release on License
1117607.3,1117607,2020-06-08 00:00:00,2020-06-08 18:43:34,OUT,TRN,UNKNWN,UNKNOWN LOCATION,AYI,Aylesbury,Medical Transfer
1185331.1,1185331,2022-11-28 00:00:00,2022-11-28 19:39:39,OUT,ADM,SUI,Sudbury,OUT,OUTSIDE,Immigration Admission
1185331.2,1185331,2016-05-02 00:00:00,2016-05-02 11:40:23,OUT,ADM,LNI,Low Newton,ALI,Albany (HMP),Immigration Admission
1185331.3,1185331,2021-11-30 00:00:00,2021-11-30 10:30:32,OUT,REL,BSI,Brinsford,DMI,Durham,Release on License
1103816.1,1103816,2017-04-06 00:00:00,2017-04-06 18:56:15,IN,TRN,ASHWTH,Ashworth Hospital,UNKNWN,UNKNOWN LOCATION,Normal Transfer
1103816.2,1103816,2018-03-15 00:00:00,2018-03-15 08:59:16,IN,TRN,FNI,Full Sutton,FDI,Ford,Medical Transfer
1103816.3,1103816,2022-12-03 00:00:00,2022-12-03 11:04:03,IN,TRN,ASP002,Bath Probation Centre,WMI,Wymott,Normal Transfer
1156747.1,1156747,2020-09-11 00:00:00,2020-09-11 22:35:46,IN,TAP,727642,NORTHAMPTONSHIRE OFFICES,NULL,,Temporary Transfer
1156747.2,1156747,2017-10-03 00:00:00,2017-10-03 23:34:57,IN,ADM,ASP001,North Somerset Courthouse Probation,ANTMC1,Antrim Magistrates Court,Initial Admission
1156747.3,1156747,2024-03-23 00:00:00,2024-03-23 13:06:54,IN,ADM,AKI,Acklington (HMP),ISI,Isis,Immigration Admission
1164613.1,1164613,2016-03-30 00:00:00,2016-03-30 16:04:50,IN,REL,ALPHHO,Alpha Hospitals Sheffield,WTI,Whatton,End of Sentence
1164613.2,1164613,2021-05-31 00:00:00,2021-05-31 02:49:08,OUT,TRN,UNKNWN,UNKNOWN LOCATION,ASHEHO,Ashen Hill/Southview,Normal Transfer
1117868.1,1117868,2018-06-26 00:00:00,2018-06-26 22:44:31,OUT,CRT,MHI,Morton Hall,OUT,OUTSIDE,Court Appearance
1117868.2,1117868,2020-12-23 00:00:00,2020-12-23 20:58:16,IN,ADM,ASHTMC,Tameside (Ashton under Lyne) Magistrates,776185,High Wycombe Probation Office,Initial Admission
1117868.3,1117868,2018-05-19 00:00:00,2018-05-19 23:27:32,IN,TRN,OUT,OUTSIDE,DWI,Downview,Normal Transfer
1117868.4,1117868,2021-01-17 00:00:00,2021-01-17 11:40:33,OUT,ADM,DTI,Deerbolt,LFI,Lancaster Farms,Immigration Admission
1130112.1,1130112,2019-12-21 00:00:00,2019-12-21 14:00:55,OUT,CRT,WSI,Wormwood Scrubs,ONI,Onley,Remand Hearing
1159361.1,1159361,2019-12-29 00:00:00,2019-12-29 09:47:07,IN,CRT,FKI,Frankland,BAI,Belmarsh,Court Appearance
1182817.1,1182817,2017-09-18 00:00:00,2017-09-18 23:46:24,IN,CRT,AMERSH,Amersham General,703230,DORSET CLOSE Probation Office,Court Appearance
1182817.2,1182817,2018-03-14 00:00:00,2018-03-14 09:23:27,IN,CRT,ASHFMC,Ashford Mc,AMERSH,Amersham General,Court Appearance
1182817.3,1182817,2022-12-20 00:00:00,2022-12-20 01:40:54,OUT,CRT,MTI,The Mount,BXI,Brixton,Court Appearance
1130868.1,1130868,2021-02-07 00:00:00,2021-02-07 03:07:55,IN,CRT,ANTCC1,Antrim Crown Court,RSI,Risley,Remand Hearing
1130868.2,1130868,2023-10-10 00:00:00,2023-10-10 04:52:59,IN,TAP,NMI,Nottingham,WYI,Wetherby,Temporary Transfer
1130868.3,1130868,2024-07-11 00:00:00,2024-07-11 03:37:59,OUT,ADM,ASP010,Wells Probation Centre,ASP012,Bridgwater Probation Centre,Immigration Admission
1176136.1,1176136,2017-10-22 00:00:00,2017-10-22 10:00:42,IN,REL,FSI,Featherstone,EWI,Eastwood Park,Release to Immigration
1176136.2,1176136,2021-08-19 00:00:00,2021-08-19 21:20:40,OUT,ADM,FMI,Feltham,ASHTYC,Tameside (Ashton under Lyne) Youth Court,Immigration Admission
1176136.3,1176136,2021-04-26 00:00:00,2021-04-26 00:36:45,IN,ADM,NULL,,AYI,Aylesbury,Immigration Admission
1177696.1,1177696,2018-06-15 00:00:00,2018-06-15 16:39:37,IN,ADM,ACCRMC,Accrington (Hyndburn) Magistrates Court,ABDRCT,Aberdare County Court,Initial Admission
1195696.1,1195696,2023-03-14 00:00:00,2023-03-14 06:09:12,OUT,TRN,PLYMCC,Plymouth Crown Court,UNKNWN,UNKNOWN LOCATION,Medical Transfer
1195696.2,1195696,2023-12-09 00:00:00,2023-12-09 04:41:48,IN,CRT,WRI,Whitemoor,ALNWYC,Alnwick Youth Court,Court Appearance
1113360.1,1113360,2018-11-17 00:00:00,2018-11-17 21:26:04,OUT,ADM,CLI,Coldingley,ASP009,Taunton Probation Centre,Immigration Admission
1131303.1,1131303,2019-11-19 00:00:00,2019-11-19 10:46:39,OUT,CRT,ACCRCT,Accrington County Court,LPI,Liverpool,Remand Hearing
1133904.1,1133904,2022-12-31 00:00:00,2022-12-31 12:39:14,IN,REL,AMRSYC,Amersham Youth Court,SDI,Send,End of Sentence
1133904.2,1133904,2018-04-30 00:00:00,2018-04-30 21:57:50,OUT,CRT,AMMNYC,Ammanford Youth Court,ASHTYC,Tameside (Ashton under Lyne) Youth Court,Remand Hearing
1133904.3,1133904,2023-02-14 00:00:00,2023-02-14 13:28:13,OUT,ADM,AMRSYC,Amersham Youth Court,DNI,Doncaster,Initial Admission
1164047.1,1164047,2015-08-19 00:00:00,2015-08-19 21:58:07,OUT,ADM,703230,DORSET CLOSE Probation Office,PNI,Preston,Initial Admission
1164047.2,1164047,2020-11-26 00:00:00,2020-11-26 13:03:41,IN,ADM,FEI,Fosse Way,MRI,Manchester,Initial Admission
1164047.3,1164047,2019-05-06 00:00:00,2019-05-06 04:07:40,IN,TRN,MHI,Morton Hall,721844,NELSON Probation Office,Normal Transfer
1164047.4,1164047,2017-08-17 00:00:00,2017-08-17 22:05:39,IN,TAP,ASHWTH,Ashworth Hospital,UNKNWN,UNKNOWN LOCATION,Temporary Transfer
1146613.1,1146613,2020-06-14 00:00:00,2020-06-14 03:14:33,OUT,ADM,ABRYYC,Aberystwyth Youth Court,ACI,Altcourse,Initial Admission
1190967.1,1190967,2017-01-25 00:00:00,2017-01-25 00:05:13,OUT,REL,795760,DTTO NOTTINGHILL GATE,CWI,Channings Wood,Release to Immigration
1190967.2,1190967,2022-07-01 00:00:00,2022-07-01 23:25:17,IN,CRT,DWI,Downview,OUT,OUTSIDE,Court Appearance
1190967.3,1190967,2017-01-27 00:00:00,2017-01-27 09:37:32,OUT,ADM,NSI,North Sea Camp,RHI,Rye Hill,Immigration Admission
1137178.1,1137178,2021-12-02 00:00:00,2021-12-02 19:17:26,IN,TRN,UKI,Usk,721844,NELSON Probation Office,Medical Transfer
1137178.2,1137178,2016-10-06 00:00:00,2016-10-06 01:52:39,IN,ADM,FEI,Fosse Way,ASP013,Taunton Crown Court Liaison Unit,Initial Admission
1137178.3,1137178,2018-05-30 00:00:00,2018-05-30 05:07:34,IN,TRN,ANI,Aldington (HMP),ALTNMC,Alton Mc,Category Change
1137178.4,1137178,2022-12-09 00:00:00,2022-12-09 15:45:21,OUT,REL,WLI,Wayland,SNI,Swinfen Hall,Release on License
1125913.1,1125913,2017-08-02 00:00:00,2017-08-02 05:36:19,OUT,TRN,HPI,Highpoint,GMI,Guys Marsh,Category Change
1125913.2,1125913,2016-01-14 00:00:00,2016-01-14 09:51:16,IN,TRN,CWI,Channings Wood,DGI,Dovegate,Normal Transfer
1113969.1,1113969,2016-03-11 00:00:00,2016-03-11 18:49:37,IN,CRT,AMMNYC,Ammanford Youth Court,696575,BOURNEMOUTH Probation Centre,Remand Hearing
1113969.2,1113969,2024-11-19 00:00:00,2024-11-19 14:55:00,IN,CRT,UNKNWN,UNKNOWN LOCATION,GTI,Gartree,Court Appearance
1195209.1,1195209,2024-10-24 00:00:00,2024-10-24 06:42:14,OUT,TRN,RSI,Risley,EXETCC,Exeter Crown Court,Category Change
1189105.1,1189105,2022-04-20 00:00:00,2022-04-20 22:13:12,IN,REL,CWI,Channings Wood,OUT,OUTSIDE,Release to Immigration
1189105.2,1189105,2018-08-28 00:00:00,2018-08-28 21:05:03,IN,CRT,ABRYYC,Aberystwyth Youth Court,AKI,Acklington (HMP),Remand Hearing
1193436.1,1193436,2016-03-06 00:00:00,2016-03-06 07:12:04,OUT,TRN,721844,NELSON Probation Office,SNARCC,Snaresbrook Crown Court,Normal Transfer
1193436.2,1193436,2021-01-07 00:00:00,2021-01-07 07:38:17,OUT,TAP,ASP004,Bristol Probation Centre,DWI,Downview,Temporary Transfer
1106247.1,1106247,2019-02-17 00:00:00,2019-02-17 08:47:34,IN,REL,FEI,Fosse Way,WEI,Wealstun,End of Sentence
1106247.2,1106247,2025-05-14 00:00:00,2025-05-14 13:23:10,IN,TRN,UNKNWN,UNKNOWN LOCATION,AAAMH1,AAAMH1 Court Mike H2 Test2,Normal Transfer
1170443.1,1170443,2017-12-22 00:00:00,2017-12-22 08:22:06,IN,CRT,ASP007,Bristol Probation Centre,AMMNYC,Ammanford Youth Court,Remand Hearing
1170443.2,1170443,2023-03-18 00:00:00,2023-03-18 00:12:22,IN,ADM,WWI,Wandsworth,696575,BOURNEMOUTH Probation Centre,Immigration Admission
1152325.1,1152325,2016-05-30 00:00:00,2016-05-30 07:55:31,OUT,CRT,ANTMC1,Antrim Magistrates Court,GNI,Grendon,Court Appearance
1152325.2,1152325,2024-04-05 00:00:00,2024-04-05 01:30:27,OUT,TAP,ALPHHO,Alpha Hospitals Sheffield,PVI,Pentonville,Temporary Transfer
1151996.1,1151996,2023-02-02 00:00:00,2023-02-02 10:51:05,OUT,CRT,UNKNWN,UNKNOWN LOCATION,HCI,Huntercombe,Court Appearance
1151996.2,1151996,2018-04-24 00:00:00,2018-04-24 13:32:30,IN,TRN,FNI,Full Sutton,UNKNWN,UNKNOWN LOCATION,Normal Transfer
1148028.1,1148028,2023-08-23 00:00:00,2023-08-23 13:07:36,OUT,TRN,MTI,The Mount,ISI,Isis,Medical Transfer
1117422.1,1117422,2017-09-15 00:00:00,2017-09-15 20:39:41,IN,REL,PVI,Pentonville,LWI,Lewes,End of Sentence
1151658.1,1151658,2021-10-07 00:00:00,2021-10-07 02:36:31,IN,ADM,LLI,Long Lartin,HMI,Humber,Initial Admission
1178950.1,1178950,2016-04-05 00:00:00,2016-04-05 06:41:04,OUT,CRT,ASHWTH,Ashworth Hospital,LNI,Low Newton,Court Appearance
1178950.2,1178950,2019-08-12 00:00:00,2019-08-12 05:10:56,IN,REL,CFI,Cardiff,WRI,Whitemoor,End of Sentence
1178950.3,1178950,2023-11-02 00:00:00,2023-11-02 19:41:15,OUT,ADM,MHI,Morton Hall,795760,DTTO NOTTINGHILL GATE,Initial Admission
1165447.1,1165447,2016-11-23 00:00:00,2016-11-23 01:12:27,OUT,CRT,CWI,Channings Wood,ASP011,Yeovil Probation Centre,Court Appearance
1165447.2,1165447,2021-03-15 00:00:00,2021-03-15 23:03:16,OUT,CRT,OUT,OUTSIDE,WCI,Winchester,Remand Hearing
1125311.1,1125311,2021-10-22 00:00:00,2021-10-22 22:19:08,IN,TAP,OUT,OUTSIDE,727642,NORTHAMPTONSHIRE OFFICES,Temporary Transfer
1125311.2,1125311,2015-08-29 00:00:00,2015-08-29 19:52:16,IN,TAP,WMI,Wymott,705109,Enfield Probation Office,Temporary Transfer
1125311.3,1125311,2015-09-12 00:00:00,2015-09-12 03:31:31,OUT,TRN,ACI,Altcourse,ASHTMC,Tameside (Ashton under Lyne) Magistrates,Normal Transfer
1125311.4,1125311,2022-03-30 00:00:00,2022-03-30 02:05:03,IN,ADM,WYI,Wetherby,OUT,OUTSIDE,Initial Admission
1124377.1,1124377,2017-08-10 00:00:00,2017-08-10 03:34:22,IN,REL,OUT,OUTSIDE,CWI,Channings Wood,Release on License
1131482.1,1131482,2018-06-26 00:00:00,2018-06-26 14:38:10,IN,TAP,796120,Erdington Probation Centre,776185,High Wycombe Probation Office,Temporary Transfer
1131482.2,1131482,2017-11-13 00:00:00,2017-11-13 16:16:26,OUT,TAP,SLI,Swaleside,ESI,East Sutton Park,Temporary Transfer
1131482.3,1131482,2017-01-07 00:00:00,2017-01-07 16:18:25,IN,TRN,HEI,Hewell,GMI,Guys Marsh,Category Change
1105179.1,1105179,2025-06-01 00:00:00,2025-06-01 22:38:28,OUT,TRN,706931,Plymouth Probation Centre,761287,MAGISTRATES COURT,Medical Transfer
1105179.2,1105179,2017-06-04 00:00:00,2017-06-04 04:48:35,IN,REL,LNI,Low Newton,RCI,Rochester,Release to Immigration
1105179.3,1105179,2019-12-28 00:00:00,2019-12-28 00:39:47,IN,ADM,WTI,Whatton,ISI,Isis,Immigration Admission
1120161.1,1120161,2015-11-29 00:00:00,2015-11-29 21:47:27,IN,TRN,STI,Styal,ACCRYC,Accrington (Hyndburn) Youth Court,Medical Transfer
1120161.2,1120161,2018-05-06 00:00:00,2018-05-06 15:06:28,IN,REL,TCI,Thorn Cross,EXETCC,Exeter Crown Court,Release on License
1120161.3,1120161,2021-06-24 00:00:00,2021-06-24 03:19:22,IN,CRT,AMRSMC,Amersham Mc,HPI,Highpoint,Court Appearance
1120161.4,1120161,2021-11-09 00:00:00,2021-11-09 18:35:02,OUT,CRT,UPI,Prescoed,ABGVMC,Abergavenny Magistrates Court,Remand Hearing
1129795.1,1129795,2022-09-09 00:00:00,2022-09-09 21:13:57,IN,TRN,AMRSMC,Amersham Mc,AGI,Askham Grange,Medical Transfer
1129795.2,1129795,2023-02-14 00:00:00,2023-02-14 23:49:11,IN,TRN,ASP017,Staple Hill Police St. Prolific Off Unit,PRI,Parc,Category Change
1129795.3,1129795,2022-05-22 00:00:00,2022-05-22 04:51:06,IN,TAP,MDI,Moorland,TRURCC,Truro Crown Court,Outside Hospital Attendance
1169336.1,1169336,2020-09-30 00:00:00,2020-09-30 14:43:37,IN,REL,ABDALE,"Abbey Dale Court, London",706931,Plymouth Probation Centre,Release to Immigration
